"CONTINENT","LOCATION","DATE_","POPULATION","NEW_VACCINATIONS","ROLLING_PPL_VACC","PERCENT_VACCINATED"
"Asia","Afghanistan",16-JUN-20,38928341,"",,
"Asia","Afghanistan",17-JUN-20,38928341,"",,
"Asia","Afghanistan",18-JUN-20,38928341,"",,
"Asia","Afghanistan",19-JUN-20,38928341,"",,
"Asia","Afghanistan",20-JUN-20,38928341,"",,
"Asia","Afghanistan",21-JUN-20,38928341,"",,
"Asia","Afghanistan",22-JUN-20,38928341,"",,
"Asia","Afghanistan",23-JUN-20,38928341,"",,
"Asia","Afghanistan",24-JUN-20,38928341,"",,
"Asia","Afghanistan",25-JUN-20,38928341,"",,
"Asia","Afghanistan",26-JUN-20,38928341,"",,
"Asia","Afghanistan",27-JUN-20,38928341,"",,
"Asia","Afghanistan",28-JUN-20,38928341,"",,
"Asia","Afghanistan",29-JUN-20,38928341,"",,
"Asia","Afghanistan",30-JUN-20,38928341,"",,
"Asia","Afghanistan",01-JUL-20,38928341,"",,
"Asia","Afghanistan",02-JUL-20,38928341,"",,
"Asia","Afghanistan",03-JUL-20,38928341,"",,
"Asia","Afghanistan",04-JUL-20,38928341,"",,
"Asia","Afghanistan",05-JUL-20,38928341,"",,
"Asia","Afghanistan",06-JUL-20,38928341,"",,
"Asia","Afghanistan",07-JUL-20,38928341,"",,
"Asia","Afghanistan",08-JUL-20,38928341,"",,
"Asia","Afghanistan",09-JUL-20,38928341,"",,
"Asia","Afghanistan",10-JUL-20,38928341,"",,
"Asia","Afghanistan",11-JUL-20,38928341,"",,
"Asia","Afghanistan",12-JUL-20,38928341,"",,
"Asia","Afghanistan",13-JUL-20,38928341,"",,
"Asia","Afghanistan",14-JUL-20,38928341,"",,
"Asia","Afghanistan",15-JUL-20,38928341,"",,
"Asia","Afghanistan",16-JUL-20,38928341,"",,
"Asia","Afghanistan",17-JUL-20,38928341,"",,
"Asia","Afghanistan",18-JUL-20,38928341,"",,
"Asia","Afghanistan",19-JUL-20,38928341,"",,
"Asia","Afghanistan",20-JUL-20,38928341,"",,
"Asia","Afghanistan",21-JUL-20,38928341,"",,
"Asia","Afghanistan",22-JUL-20,38928341,"",,
"Asia","Afghanistan",23-JUL-20,38928341,"",,
"Asia","Afghanistan",24-JUL-20,38928341,"",,
"Asia","Afghanistan",25-JUL-20,38928341,"",,
"Asia","Afghanistan",26-JUL-20,38928341,"",,
"Asia","Afghanistan",27-JUL-20,38928341,"",,
"Asia","Afghanistan",28-JUL-20,38928341,"",,
"Asia","Afghanistan",29-JUL-20,38928341,"",,
"Asia","Afghanistan",30-JUL-20,38928341,"",,
"Asia","Afghanistan",31-JUL-20,38928341,"",,
"Asia","Afghanistan",01-AUG-20,38928341,"",,
"Asia","Afghanistan",02-AUG-20,38928341,"",,
"Asia","Afghanistan",03-AUG-20,38928341,"",,
"Asia","Afghanistan",04-AUG-20,38928341,"",,
"Asia","Afghanistan",05-AUG-20,38928341,"",,
"Asia","Afghanistan",06-AUG-20,38928341,"",,
"Asia","Afghanistan",07-AUG-20,38928341,"",,
"Asia","Afghanistan",08-AUG-20,38928341,"",,
"Asia","Afghanistan",09-AUG-20,38928341,"",,
"Asia","Afghanistan",10-AUG-20,38928341,"",,
"Asia","Afghanistan",11-AUG-20,38928341,"",,
"Asia","Afghanistan",12-AUG-20,38928341,"",,
"Asia","Afghanistan",13-AUG-20,38928341,"",,
"Asia","Afghanistan",14-AUG-20,38928341,"",,
"Asia","Afghanistan",15-AUG-20,38928341,"",,
"Asia","Afghanistan",16-AUG-20,38928341,"",,
"Asia","Afghanistan",17-AUG-20,38928341,"",,
"Asia","Afghanistan",18-AUG-20,38928341,"",,
"Asia","Afghanistan",19-AUG-20,38928341,"",,
"Asia","Afghanistan",20-AUG-20,38928341,"",,
"Asia","Afghanistan",21-AUG-20,38928341,"",,
"Asia","Afghanistan",22-AUG-20,38928341,"",,
"Asia","Afghanistan",23-AUG-20,38928341,"",,
"Asia","Afghanistan",24-AUG-20,38928341,"",,
"Asia","Afghanistan",25-AUG-20,38928341,"",,
"Asia","Afghanistan",26-AUG-20,38928341,"",,
"Asia","Afghanistan",27-AUG-20,38928341,"",,
"Asia","Afghanistan",28-AUG-20,38928341,"",,
"Asia","Afghanistan",29-AUG-20,38928341,"",,
"Asia","Afghanistan",30-AUG-20,38928341,"",,
"Asia","Afghanistan",31-AUG-20,38928341,"",,
"Asia","Afghanistan",01-SEP-20,38928341,"",,
"Asia","Afghanistan",02-SEP-20,38928341,"",,
"Asia","Afghanistan",03-SEP-20,38928341,"",,
"Asia","Afghanistan",04-SEP-20,38928341,"",,
"Asia","Afghanistan",05-SEP-20,38928341,"",,
"Asia","Afghanistan",06-SEP-20,38928341,"",,
"Asia","Afghanistan",07-SEP-20,38928341,"",,
"Asia","Afghanistan",08-SEP-20,38928341,"",,
"Asia","Afghanistan",09-SEP-20,38928341,"",,
"Asia","Afghanistan",10-SEP-20,38928341,"",,
"Asia","Afghanistan",11-SEP-20,38928341,"",,
"Asia","Afghanistan",12-SEP-20,38928341,"",,
"Asia","Afghanistan",13-SEP-20,38928341,"",,
"Asia","Afghanistan",14-SEP-20,38928341,"",,
"Asia","Afghanistan",15-SEP-20,38928341,"",,
"Asia","Afghanistan",16-SEP-20,38928341,"",,
"Asia","Afghanistan",17-SEP-20,38928341,"",,
"Asia","Afghanistan",18-SEP-20,38928341,"",,
"Asia","Afghanistan",19-SEP-20,38928341,"",,
"Asia","Afghanistan",20-SEP-20,38928341,"",,
"Asia","Afghanistan",21-SEP-20,38928341,"",,
"Asia","Afghanistan",22-SEP-20,38928341,"",,
"Asia","Afghanistan",23-SEP-20,38928341,"",,
"Asia","Afghanistan",24-SEP-20,38928341,"",,
"Asia","Afghanistan",25-SEP-20,38928341,"",,
"Asia","Afghanistan",26-SEP-20,38928341,"",,
"Asia","Afghanistan",27-SEP-20,38928341,"",,
"Asia","Afghanistan",28-SEP-20,38928341,"",,
"Asia","Afghanistan",29-SEP-20,38928341,"",,
"Asia","Afghanistan",30-SEP-20,38928341,"",,
"Asia","Afghanistan",01-OCT-20,38928341,"",,
"Asia","Afghanistan",02-OCT-20,38928341,"",,
"Asia","Afghanistan",03-OCT-20,38928341,"",,
"Asia","Afghanistan",04-OCT-20,38928341,"",,
"Asia","Afghanistan",05-OCT-20,38928341,"",,
"Asia","Afghanistan",06-OCT-20,38928341,"",,
"Asia","Afghanistan",07-OCT-20,38928341,"",,
"Asia","Afghanistan",08-OCT-20,38928341,"",,
"Asia","Afghanistan",09-OCT-20,38928341,"",,
"Asia","Afghanistan",10-OCT-20,38928341,"",,
"Asia","Afghanistan",11-OCT-20,38928341,"",,
"Asia","Afghanistan",12-OCT-20,38928341,"",,
"Asia","Afghanistan",13-OCT-20,38928341,"",,
"Asia","Afghanistan",14-OCT-20,38928341,"",,
"Asia","Afghanistan",15-OCT-20,38928341,"",,
"Asia","Afghanistan",16-OCT-20,38928341,"",,
"Asia","Afghanistan",17-OCT-20,38928341,"",,
"Asia","Afghanistan",18-OCT-20,38928341,"",,
"Asia","Afghanistan",19-OCT-20,38928341,"",,
"Asia","Afghanistan",20-OCT-20,38928341,"",,
"Asia","Afghanistan",21-OCT-20,38928341,"",,
"Asia","Afghanistan",22-OCT-20,38928341,"",,
"Asia","Afghanistan",23-OCT-20,38928341,"",,
"Asia","Afghanistan",24-OCT-20,38928341,"",,
"Asia","Afghanistan",25-OCT-20,38928341,"",,
"Asia","Afghanistan",26-OCT-20,38928341,"",,
"Asia","Afghanistan",27-OCT-20,38928341,"",,
"Asia","Afghanistan",28-OCT-20,38928341,"",,
"Asia","Afghanistan",29-OCT-20,38928341,"",,
"Asia","Afghanistan",30-OCT-20,38928341,"",,
"Asia","Afghanistan",31-OCT-20,38928341,"",,
"Asia","Afghanistan",01-NOV-20,38928341,"",,
"Asia","Afghanistan",02-NOV-20,38928341,"",,
"Asia","Afghanistan",03-NOV-20,38928341,"",,
"Asia","Afghanistan",04-NOV-20,38928341,"",,
"Asia","Afghanistan",05-NOV-20,38928341,"",,
"Asia","Afghanistan",06-NOV-20,38928341,"",,
"Asia","Afghanistan",07-NOV-20,38928341,"",,
"Asia","Afghanistan",08-NOV-20,38928341,"",,
"Asia","Afghanistan",09-NOV-20,38928341,"",,
"Asia","Afghanistan",10-NOV-20,38928341,"",,
"Asia","Afghanistan",11-NOV-20,38928341,"",,
"Asia","Afghanistan",12-NOV-20,38928341,"",,
"Asia","Afghanistan",13-NOV-20,38928341,"",,
"Asia","Afghanistan",14-NOV-20,38928341,"",,
"Asia","Afghanistan",15-NOV-20,38928341,"",,
"Asia","Afghanistan",16-NOV-20,38928341,"",,
"Asia","Afghanistan",17-NOV-20,38928341,"",,
"Asia","Afghanistan",18-NOV-20,38928341,"",,
